pickup_location,dropoff_location,order_time,dispatch_time,estimated_delivery_time,actual_delivery_time,delivery_distance_km,num_items,traffic_level,vehicle_type
Dublin 2,Dublin 1,26-01-2024 08:48,26-01-2024 08:52,26-01-2024 08:55,26-01-2024 08:55,1.66,3,Low,Car
Dublin 14,Dublin 2,24-02-2024 01:57,24-02-2024 02:04,24-02-2024 02:18,24-02-2024 02:19,5.08,0,Low,Bike
Dublin 15,Dublin 1,21-02-2024 10:03,21-02-2024 10:07,21-02-2024 10:30,21-02-2024 10:28,9.87,2,Medium,Car
Dublin 12,Dublin 15,26-01-2024 15:43,26-01-2024 15:56,26-01-2024 16:21,26-01-2024 16:19,8.55,2,High,Bike
Dublin 11,Dublin 9,26-01-2024 15:01,26-01-2024 15:04,26-01-2024 15:10,26-01-2024 15:08,3.28,3,Low,Bike
Dublin 11,Dublin 2,03-02-2024 00:12,03-02-2024 00:26,03-02-2024 00:46,03-02-2024 00:45,6.34,1,Medium,Bike
Dublin 12,Dublin 14,12-01-2024 16:41,12-01-2024 16:56,12-01-2024 17:10,12-01-2024 17:12,5.68,2,Medium,Van
Dublin 15,Dublin 9,22-02-2024 21:14,22-02-2024 21:18,22-02-2024 21:55,22-02-2024 21:51,9.97,0,Medium,Bike
Dublin 8,Dublin 2,22-01-2024 12:32,22-01-2024 12:46,22-01-2024 12:50,22-01-2024 12:50,1.65,4,Low,Car
Dublin 9,Dublin 4,04-02-2024 00:40,04-02-2024 00:46,04-02-2024 01:01,04-02-2024 01:01,6.27,1,Low,Van
Dublin 2,Dublin 15,28-02-2024 03:07,28-02-2024 03:10,28-02-2024 03:44,28-02-2024 03:43,10.97,3,Medium,Car
Dublin 8,Dublin 14,21-01-2024 07:45,21-01-2024 07:56,21-01-2024 08:07,21-01-2024 08:05,5.06,2,Medium,Bike
Dublin 1,Dublin 9,06-02-2024 20:21,06-02-2024 20:26,06-02-2024 20:32,06-02-2024 20:32,3.62,2,Low,Car
Dublin 9,Dublin 6,29-02-2024 23:49,29-02-2024 23:57,01-03-2024 00:10,01-03-2024 00:10,6.48,3,Medium,Car
Dublin 8,Dublin 4,23-01-2024 18:45,23-01-2024 18:57,23-01-2024 19:09,23-01-2024 19:07,3.73,4,Medium,Car
Dublin 15,Dublin 11,03-02-2024 06:47,03-02-2024 06:51,03-02-2024 07:22,03-02-2024 07:24,6.88,4,High,Car
Dublin 1,Dublin 2,15-01-2024 05:53,15-01-2024 06:04,15-01-2024 06:07,15-01-2024 06:07,1.46,3,Low,Car
Dublin 11,Dublin 15,12-02-2024 22:28,12-02-2024 22:37,12-02-2024 22:51,12-02-2024 22:50,7.13,1,Low,Van
Dublin 2,Dublin 14,25-01-2024 14:53,25-01-2024 15:06,25-01-2024 15:20,25-01-2024 15:19,3.89,7,Medium,Car
Dublin 12,Dublin 1,25-01-2024 07:22,25-01-2024 07:31,25-01-2024 07:45,25-01-2024 07:45,5.51,4,Medium,Bike
Dublin 8,Dublin 14,25-02-2024 18:18,25-02-2024 18:22,25-02-2024 18:28,25-02-2024 18:28,3.56,1,Low,Car
Dublin 14,Dublin 1,24-02-2024 20:24,24-02-2024 20:30,24-02-2024 20:51,24-02-2024 20:50,5.93,3,Medium,Bike
Dublin 8,Dublin 6,06-01-2024 14:32,06-01-2024 14:36,06-01-2024 14:42,06-01-2024 14:41,2.37,2,High,Bike
Dublin 12,Dublin 2,18-02-2024 19:42,18-02-2024 19:55,18-02-2024 20:05,18-02-2024 20:07,5.3,1,Low,Van
Dublin 4,Dublin 8,18-02-2024 08:43,18-02-2024 08:57,18-02-2024 09:05,18-02-2024 09:06,4.18,3,Medium,Van
Dublin 6,Dublin 8,06-02-2024 15:36,06-02-2024 15:47,06-02-2024 15:55,06-02-2024 15:56,2.95,3,Medium,Car
Dublin 2,Dublin 6,21-01-2024 18:51,21-01-2024 18:53,21-01-2024 18:59,21-01-2024 19:01,2.54,2,Medium,Bike
Dublin 6,Dublin 1,07-01-2024 19:05,07-01-2024 19:17,07-01-2024 19:31,07-01-2024 19:32,4.44,0,Medium,Van
Dublin 9,Dublin 2,17-02-2024 03:11,17-02-2024 03:15,17-02-2024 03:23,17-02-2024 03:23,3.89,3,Low,Car
Dublin 15,Dublin 12,23-01-2024 10:50,23-01-2024 11:03,23-01-2024 11:28,23-01-2024 11:27,9.02,6,Medium,Bike
Dublin 11,Dublin 9,08-02-2024 21:19,08-02-2024 21:26,08-02-2024 21:34,08-02-2024 21:34,3.47,5,Medium,Car
Dublin 2,Dublin 1,06-02-2024 23:32,06-02-2024 23:44,06-02-2024 23:48,06-02-2024 23:48,1.72,1,Medium,Bike
Dublin 6,Dublin 14,11-02-2024 04:00,11-02-2024 04:03,11-02-2024 04:11,11-02-2024 04:12,2.63,0,Medium,Bike
Dublin 2,Dublin 12,20-02-2024 10:12,20-02-2024 10:14,20-02-2024 10:22,20-02-2024 10:22,5.42,0,Low,Van
Dublin 2,Dublin 6,16-01-2024 11:18,16-01-2024 11:25,16-01-2024 11:32,16-01-2024 11:32,2.33,4,Medium,Car
Dublin 1,Dublin 4,04-02-2024 19:52,04-02-2024 19:53,04-02-2024 20:10,04-02-2024 20:08,4.13,4,High,Car
Dublin 12,Dublin 8,08-02-2024 20:04,08-02-2024 20:16,08-02-2024 20:24,08-02-2024 20:23,3.02,5,High,Car
Dublin 12,Dublin 4,18-01-2024 14:50,18-01-2024 14:55,18-01-2024 15:20,18-01-2024 15:20,8.66,3,Low,Car
Dublin 1,Dublin 9,06-01-2024 12:52,06-01-2024 12:53,06-01-2024 13:02,06-01-2024 13:02,3.35,5,Medium,Van
Dublin 4,Dublin 1,16-02-2024 13:22,16-02-2024 13:24,16-02-2024 13:41,16-02-2024 13:42,3.48,6,High,Bike
Dublin 6,Dublin 11,12-01-2024 05:53,12-01-2024 06:08,12-01-2024 06:28,12-01-2024 06:26,8.18,3,Medium,Bike
Dublin 2,Dublin 11,01-03-2024 04:03,01-03-2024 04:13,01-03-2024 04:32,01-03-2024 04:30,6.3,5,Medium,Bike
Dublin 9,Dublin 6,25-01-2024 12:14,25-01-2024 12:21,25-01-2024 12:34,25-01-2024 12:35,7.16,9,Low,Car
Dublin 2,Dublin 1,12-02-2024 01:08,12-02-2024 01:18,12-02-2024 01:21,12-02-2024 01:21,1.03,1,High,Bike
Dublin 6,Dublin 14,25-01-2024 11:20,25-01-2024 11:23,25-01-2024 11:33,25-01-2024 11:31,3.68,2,High,Van
Dublin 9,Dublin 8,15-01-2024 16:36,15-01-2024 16:44,15-01-2024 16:59,15-01-2024 16:58,4.85,4,High,Car
Dublin 14,Dublin 1,20-02-2024 19:32,20-02-2024 19:37,20-02-2024 20:03,20-02-2024 20:02,5.73,5,High,Van
Dublin 8,Dublin 2,11-01-2024 01:49,11-01-2024 02:01,11-01-2024 02:05,11-01-2024 02:06,1.44,1,Medium,Car
Dublin 9,Dublin 6,28-02-2024 01:30,28-02-2024 01:44,28-02-2024 01:58,28-02-2024 02:00,7.16,2,Low,Van
Dublin 1,Dublin 2,28-02-2024 01:36,28-02-2024 01:43,28-02-2024 01:51,28-02-2024 01:49,1.57,6,High,Bike
Dublin 4,Dublin 8,16-01-2024 00:58,16-01-2024 01:10,16-01-2024 01:18,16-01-2024 01:18,3.52,2,Medium,Car
Dublin 2,Dublin 4,19-02-2024 23:51,19-02-2024 23:52,20-02-2024 00:00,20-02-2024 00:02,2.5,1,High,Bike
Dublin 4,Dublin 1,29-01-2024 09:24,29-01-2024 09:30,29-01-2024 09:38,29-01-2024 09:38,2.9,4,High,Van
Dublin 9,Dublin 6,24-01-2024 01:06,24-01-2024 01:17,24-01-2024 01:30,24-01-2024 01:28,7.62,3,Low,Van
Dublin 11,Dublin 15,15-01-2024 09:37,15-01-2024 09:52,15-01-2024 10:10,15-01-2024 10:09,6.49,0,High,Van
Dublin 4,Dublin 11,03-01-2024 14:08,03-01-2024 14:11,03-01-2024 14:37,03-01-2024 14:37,8.76,4,Medium,Van
Dublin 6,Dublin 8,15-01-2024 19:46,15-01-2024 19:59,15-01-2024 20:05,15-01-2024 20:06,2.3,3,Medium,Bike
Dublin 12,Dublin 6,19-01-2024 11:58,19-01-2024 12:12,19-01-2024 12:28,19-01-2024 12:27,4.31,1,High,Van
Dublin 6,Dublin 1,18-01-2024 21:53,18-01-2024 22:00,18-01-2024 22:07,18-01-2024 22:07,3.3,3,Medium,Van
Dublin 8,Dublin 9,28-02-2024 17:20,28-02-2024 17:29,28-02-2024 17:40,28-02-2024 17:41,5.71,2,Medium,Car
Dublin 1,Dublin 2,25-01-2024 02:37,25-01-2024 02:40,25-01-2024 02:41,25-01-2024 02:41,0.52,7,Medium,Bike
Dublin 15,Dublin 11,01-02-2024 19:09,01-02-2024 19:21,01-02-2024 19:38,01-02-2024 19:40,6.4,4,Medium,Van
Dublin 2,Dublin 11,22-02-2024 19:34,22-02-2024 19:38,22-02-2024 19:49,22-02-2024 19:49,6.44,4,Low,Bike
Dublin 14,Dublin 6,03-02-2024 11:39,03-02-2024 11:46,03-02-2024 11:52,03-02-2024 11:51,3.12,3,Low,Bike
Dublin 9,Dublin 2,28-01-2024 16:03,28-01-2024 16:12,28-01-2024 16:24,28-01-2024 16:24,4.32,4,Medium,Car
Dublin 8,Dublin 14,12-01-2024 22:03,12-01-2024 22:07,12-01-2024 22:17,12-01-2024 22:17,5.1,2,Medium,Car
Dublin 4,Dublin 15,22-02-2024 03:13,22-02-2024 03:18,22-02-2024 03:46,22-02-2024 03:47,13.39,2,Medium,Bike
Dublin 6,Dublin 11,23-02-2024 02:59,23-02-2024 03:09,23-02-2024 03:29,23-02-2024 03:26,7.35,5,Medium,Car
Dublin 6,Dublin 14,13-02-2024 09:41,13-02-2024 09:54,13-02-2024 10:02,13-02-2024 10:03,2.68,2,High,Bike
Dublin 2,Dublin 8,17-02-2024 06:01,17-02-2024 06:12,17-02-2024 06:17,17-02-2024 06:17,1.62,1,Medium,Van
Dublin 6,Dublin 8,21-01-2024 18:44,21-01-2024 18:57,21-01-2024 19:06,21-01-2024 19:06,3.01,5,Low,Bike
Dublin 12,Dublin 15,07-01-2024 23:05,07-01-2024 23:13,07-01-2024 23:36,07-01-2024 23:38,9.45,2,Medium,Bike
Dublin 11,Dublin 12,06-02-2024 17:03,06-02-2024 17:07,06-02-2024 17:21,06-02-2024 17:22,8.09,6,Low,Van
Dublin 2,Dublin 11,21-01-2024 06:03,21-01-2024 06:06,21-01-2024 06:25,21-01-2024 06:27,6.22,2,High,Car
Dublin 14,Dublin 6,12-01-2024 09:06,12-01-2024 09:14,12-01-2024 09:17,12-01-2024 09:17,1.46,1,Low,Car
Dublin 14,Dublin 15,30-01-2024 05:08,30-01-2024 05:21,30-01-2024 06:07,30-01-2024 06:16,14.56,3,High,Car
Dublin 14,Dublin 11,20-02-2024 04:50,20-02-2024 04:58,20-02-2024 05:27,20-02-2024 05:32,9.82,2,High,Car
Dublin 8,Dublin 6,28-02-2024 08:59,28-02-2024 09:04,28-02-2024 09:10,28-02-2024 09:10,2.34,4,Medium,Car
Dublin 8,Dublin 12,08-01-2024 09:15,08-01-2024 09:27,08-01-2024 09:36,08-01-2024 09:37,3.64,2,Low,Bike
Dublin 14,Dublin 2,13-01-2024 22:16,13-01-2024 22:19,13-01-2024 22:27,13-01-2024 22:27,4.42,7,Low,Car
Dublin 2,Dublin 11,07-02-2024 10:24,07-02-2024 10:30,07-02-2024 10:45,07-02-2024 10:46,5.59,3,Medium,Bike
Dublin 11,Dublin 15,03-01-2024 02:40,03-01-2024 02:54,03-01-2024 03:15,03-01-2024 03:19,6.52,6,High,Car
Dublin 9,Dublin 8,05-02-2024 19:56,05-02-2024 20:10,05-02-2024 20:26,05-02-2024 20:28,5.62,2,High,Car
Dublin 14,Dublin 15,21-01-2024 09:46,21-01-2024 09:54,21-01-2024 10:22,21-01-2024 10:26,13.53,5,Low,Bike
Dublin 9,Dublin 11,16-01-2024 08:32,16-01-2024 08:46,16-01-2024 09:00,16-01-2024 09:01,4.12,4,Medium,Car
Dublin 1,Dublin 11,24-02-2024 05:00,24-02-2024 05:10,24-02-2024 05:29,24-02-2024 05:28,5.15,3,Medium,Car
Dublin 12,Dublin 4,05-01-2024 21:50,05-01-2024 21:55,05-01-2024 22:19,05-01-2024 22:17,7.48,3,Medium,Bike
Dublin 11,Dublin 8,08-02-2024 16:55,08-02-2024 17:00,08-02-2024 17:18,08-02-2024 17:19,5.29,1,High,Car
Dublin 1,Dublin 9,21-01-2024 17:49,21-01-2024 18:00,21-01-2024 18:05,21-01-2024 18:04,3.06,1,Low,Bike
Dublin 1,Dublin 6,19-01-2024 11:30,19-01-2024 11:44,19-01-2024 11:53,19-01-2024 11:52,3.54,2,Low,Bike
Dublin 2,Dublin 15,21-01-2024 04:09,21-01-2024 04:17,21-01-2024 04:41,21-01-2024 04:41,10.98,2,Medium,Bike
Dublin 15,Dublin 2,16-01-2024 05:45,16-01-2024 05:50,16-01-2024 06:22,16-01-2024 06:21,10.97,3,Low,Bike
Dublin 11,Dublin 6,08-01-2024 06:01,08-01-2024 06:11,08-01-2024 06:30,08-01-2024 06:26,7.94,4,Medium,Bike
Dublin 8,Dublin 15,12-01-2024 08:26,12-01-2024 08:39,12-01-2024 09:08,12-01-2024 09:05,10.08,3,High,Bike
Dublin 11,Dublin 9,07-01-2024 14:38,07-01-2024 14:47,07-01-2024 15:04,07-01-2024 15:00,4.39,2,Medium,Car
